School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1
MURRAY HILL ACADEMY HS - M,M,2,CHARTER MATCH INTERIOR SPACES,407000,CIP,M620,111 EAST 33 STREET,Manhattan,10016,MANHATTAN,40.746176,-73.981241,105,4,1087537,1008897501,72,MN0603,"(40.746176, -73.981241)"
P.S. 153 - QUEENS,Q,24,PA SYSTEM REPLACEMENT,989999,CIP,Q153,60-02 60 LANE,Queens,11378,QUEENS,40.716609,-73.903669,405,30,4060987,4027320018,599,QN0501,"(40.716609, -73.903669)"
CHANNEL VIEW SCL FOR RESEARCH - Q,Q,27,TENNIS COURT REMEDIATION,4362000,CIP,Q411,100-00 BEACH CHANNEL DRIVE,Queens,11694,QUEENS,40.586066,-73.822624,414,32,4303773,4161670099,94201,QN1402,"(40.586066, -73.822624)"
P.S. 79 - QUEENS,Q,25,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,7872000,CIP,Q079,147-27 15 DRIVE,Queens,11357,QUEENS,40.785909,-73.818058,407,19,4105232,4046470001,1039,QN0702,"(40.785909, -73.818058)"
I.S. 77 - QUEENS,Q,24,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,23400000,CIP,Q849,976 SENECA AVENUE,Queens,11385,QUEENS,40.699516,-73.90214,405,34,4085922,4035630023,555,QN0502,"(40.699516, -73.90214)"
P.S. 13 ANNEX - STATEN ISLAND,R,31,Demo,2389000,CAP,R122,1 VIRGINIA AVENUE,Staten Is,10305,STATEN IS,40.615517,-74.06755,501,49,5042681,5028470086,8,SI0103,"(40.615517, -74.06755)"
P.S. 304 - BRONX,X,8,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6630000,CIP,X101,2750 LAFAYETTE AVENUE,Bronx,10465,BRONX,40.827471,-73.829753,210,13,2080231,2055470001,152,BX1002,"(40.827471, -73.829753)"
P.S. 239 - QUEENS,Q,24,CLIMATE CONTROL / FIRE ALARM SYSTEM REPLACEMENT / HVAC COOLING SYSTEM REPLACEMENT,7760000,CIP,Q239,17-15 WEIRFIELD STREET,Queens,11385,QUEENS,40.699149,-73.903799,405,34,4435561,4035610001,553,QN0502,"(40.699149, -73.903799)"
P.S. 63 - QUEENS,Q,27,LSP DOMESTIC WATER HEATER REPLACEMENT,175157.82,CIP,Q063,90-15 SUTTER AVENUE,Queens,11417,QUEENS,40.67641,-73.846773,410,32,4190727,4091550025,54,QN1002,"(40.67641, -73.846773)"
I.S. 303 - BRONX,X,9,FY23 RESO A LIBRARY UPGRADE,216000,CIP,X082,1700 MACOMBS ROAD,Bronx,10453,BRONX,40.849532,-73.916077,205,14,2008460,2028660070,21502,BX0501,"(40.849532, -73.916077)"
WILLIAM MAXWELL VOC HS - K,K,19,FY23 RESO A GYMNASIUM UPGRADE,56000,CIP,K660,145 PENNSYLVANIA AVENUE,Brooklyn,11207,BROOKLYN,40.674135,-73.89643,305,37,3083660,3037040001,1144,BK0502,"(40.674135, -73.89643)"
P.S. 86 - BROOKLYN,K,32,FY21 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION,388400,CIP,K086,220 IRVING AVENUE,Brooklyn,11237,BROOKLYN,40.700774,-73.91748,304,37,3075109,3032890027,431,BK0401,"(40.700774, -73.91748)"
P.S. 184 - QUEENS,Q,25,FY21 RESO A PLAYGROUND UPGRADE,766000,CIP,Q184,163-15 21 ROAD,Queens,11357,QUEENS,40.778095,-73.800163,407,19,4129072,4057560001,1017,QN0703,"(40.778095, -73.800163)"
P.S. 705 - BROOKLYN,K,17,PARAPETS / ROOFS,5303380,CIP,K022,443 ST MARKS AVENUE,Brooklyn,11238,BROOKLYN,40.676774,-73.960058,308,35,3028281,3011480050,305,BK0802,"(40.676774, -73.960058)"
P.S. 158 - MANHATTAN,M,2,COVID FIRE ALARM SYSTEM / COVID VENTILATION,2497000,CIP,M158,1458 YORK AVENUE,Manhattan,10075,MANHATTAN,40.770419,-73.951135,108,5,1046411,1014890001,13202,MN0801,"(40.770419, -73.951135)"
HERBERT H. LEHMAN HS - X,X,8,AUDITORIUM UP0GRADE,1050000,CIP,X405,3000 EAST TREMONT AVENUE,Bronx,10461,BRONX,40.840733,-73.838685,210,13,2074045,2053680001,194,BX1002,"(40.840733, -73.838685)"
SECONDARY SCHOOL FOR LAW - K,K,15,MASONRY,2997786,CIP,K460,237 7 AVENUE,Brooklyn,11215,BROOKLYN,40.669629,-73.979287,306,39,3025510,3010820001,155,BK0602,"(40.669629, -73.979287)"
NEWTOWN HS - QUEENS,Q,24,"CEILING ACOUSTAL TILES REPLACEMENT / EXTERIOR MASONRY / FIRE ALARM SYSTEM / ROOF SLATE TILES / ROOFS / VENTILATION / WATER PENETRATION IN BOILER, GAS ROOM, 
OIL TANK ROOM, CELLAR HALLWAY",40922300,CIP,Q455,48-01 90 STREET,Queens,11373,QUEENS,40.741122,-73.874721,404,25,4045629,4018490001,461,QN0401,"(40.741122, -73.874721)"
P.S. 22 - STATEN ISLAND,R,31,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,9941961.29,CIP,R022,1860 FOREST AVENUE,Staten Island,10303,STATEN IS,40.625369,-74.15097,501,49,5107239,5017060001,30302,SI0107,"(40.625369, -74.15097)"
JAMES MADISON HS - BROOKLYN,K,22,COVID VENTILATION,11445000,CIP,K425,3787 BEDFORD AVENUE,Brooklyn,11229,BROOKLYN,40.609912,-73.948512,315,48,3182721,3067880001,642,BK1502,"(40.609912, -73.948512)"
P.S. 62 - QUEENS,Q,27,LSP DOMESTIC WATER HEATER REPLACEMENT,148607.82,CIP,Q062,97-25 108 STREET,Queens,11419,QUEENS,40.688577,-73.836162,409,29,4197909,4094100001,110,QN0903,"(40.688577, -73.836162)"
X352 SPED - BRONX,X,12,IPDVS INSTALLATIONS,603000,CIP,X092,700 EAST 179 STREET,Bronx,10457,BRONX,40.846711,-73.889815,206,15,2012620,2030920014,371,BX0602,"(40.846711, -73.889815)"
P.S. 236 - BROOKLYN,K,22,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,10824,CIP,K236,6302 AVENUE U,Brooklyn,11234,BROOKLYN,40.615998,-73.912989,318,46,3326821,3084640001,698,BK1802,"(40.615998, -73.912989)"
Q811 SPED - QUEENS,Q,29,EXTERIOR MASONRY / PARAPETS / ROOF REPLACEMENT / ROOFS,6497423,CIP,Q851,218-01 116 AVENUE,Queens,11411,QUEENS,40.697309,-73.740948,413,27,4243743,4113000001,598,QN1304,"(40.697309, -73.740948)"
HS FOR HEALTH CAREER & SCIENCE - M,M,6,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS,37627000,CIP,M465,549 AUDUBON AVENUE,Manhattan,10040,MANHATTAN,40.855855,-73.92712,112,10,1076751,1021600018,277,MN1202,"(40.855855, -73.92712)"
P.S. 160 - BRONX,X,11,LSP HOT WATER TANK IN BOILER ROOM,135000,CIP,X160,4140 HUTCHINSON RIVER PARKWAY EAST,Bronx,10475,BRONX,40.864687,-73.824299,210,12,2072352,2051350200,30201,BX1004,"(40.864687, -73.824299)"
P.S. 20 - BRONX,X,10,LSP DOMESTIC WATER HEATER REPLACEMENT,68401,CIP,X020,3050 WEBSTER AVENUE,Bronx,10467,BRONX,40.870002,-73.878875,207,11,2086851,2033300001,425,BX0703,"(40.870002, -73.878875)"
P.S. 184 - MANHATTAN,M,1,COVID FIRE ALARM REPLACEMENT / COVID VENTILATION / FY18 RESO A ELECTRICAL SYSTEMS,622000,CIP,M137,327 CHERRY STREET,Manhattan,10002,MANHATTAN,40.711549,-73.986542,103,1,1003143,1002450007,201,MN0301,"(40.711549, -73.986542)"
P.S. 214 - BROOKLYN,K,19,AUDITORIUM SEATING / FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,15400000,CIP,K214,2944 PITKIN AVENUE,Brooklyn,11208,BROOKLYN,40.676513,-73.863151,305,37,3095254,3042430001,1202,BK0505,"(40.676513, -73.863151)"
CURTIS HS - STATEN ISLAND,R,31,COVID VENTILATION,3628000,CIP,R450,105 HAMILTON AVENUE,Staten Island,10301,STATEN IS,40.644735,-74.081222,501,49,5106483,5000220001,7,SI0101,"(40.644735, -74.081222)"
I.S. @ 4002 FORT HAMILTON PARKWAY - BROOKLYN,K,15,Demo,7888000,CAP,K004,4002 FORT HAMILTON PARKWAY,Brooklyn,11218,BROOKLYN,40.642614,-73.991338,312,38,3000000,3055870038,110,BK1201,"(40.642614, -73.991338)"
P.S. 203 - QUEENS,Q,26,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6575000,CIP,Q203,53-11 SPRINGFIELD BOULEVARD,Queens,11364,QUEENS,40.754201,-73.760636,411,23,4161005,4074820317,138501,QN1102,"(40.754201, -73.760636)"
SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,M,4,ELECTRICAL WORK FOR A/C INITIATIVE,10495.01,CIP,M646,321 EAST 96 STREET,Manhattan,10128,MANHATTAN,40.783638,-73.945626,111,8,1083927,1016680001,15602,MN1101,"(40.783638, -73.945626)"
P.S. 98 - QUEENS,Q,26,FY20 RESO A SUPPLEMENTAL COOLING,410000,CIP,Q098,40-20 235 STREET,Queens,11363,QUEENS,40.769271,-73.749369,411,19,4168629,4080820285,1483,QN1103,"(40.769271, -73.749369)"
P.S. 5 - BROOKLYN,K,16,ELECTRICAL SYSTEMS / LOW VOLTAGE ELECTRICAL SYSTEM / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,16795000,CIP,K005,820 HANCOCK STREET,Brooklyn,11233,BROOKLYN,40.685687,-73.922532,303,41,3039906,3014900001,377,BK0302,"(40.685687, -73.922532)"
WORLD CULTURES HS - X,X,12,PATH OF TRAVEL SWIMMING POOL / SWIMMING POOL,10111000,CIP,X420,1300 BOYNTON AVENUE,Bronx,10472,BRONX,40.831601,-73.878912,209,17,2027459,2038640001,56,BX0901,"(40.831601, -73.878912)"
P.S. 165 - MANHATTAN,M,3,LSP GYMNASIUM FLOOR,104377,CIP,M165,234 WEST 109 STREET,Manhattan,10025,MANHATTAN,40.802917,-73.965613,107,7,1056676,1018800013,195,MN0703,"(40.802917, -73.965613)"
TELECOM. ARTS & TECH. HS - K,K,20,LSP REPLACE BURNER CONTROLS,53000,CIP,K485,350 67 STREET,Brooklyn,11220,BROOKLYN,40.637282,-74.023849,310,47,3144482,3058500030,70,BK1001,"(40.637282, -74.023849)"
LOWER EAST SIDE PREP HS - M,M,1,IPDVS CAMERA INSTALLATION,449000,CIP,M025,145 STANTON STREET,Manhattan,10002,MANHATTAN,40.720581,-73.985645,103,1,1004323,1003540080,3001,MN0302,"(40.720581, -73.985645)"
LONGWOOD PREPARATORY ACADEMY,X,8,FLOOD ELIMINATION,1579599,CIP,X039,965 LONGWOOD AVENUE,Bronx,10459,BRONX,40.817512,-73.898212,202,17,2005616,2027100001,87,BX0202,"(40.817512, -73.898212)"
P.S. 138 - BROOKLYN,K,17,FIRE SPRINKLER,7216,CIP,K138,760 PROSPECT PLACE,Brooklyn,11216,BROOKLYN,40.67438,-73.951443,308,36,3330794,3012330026,31701,BK0802,"(40.67438, -73.951443)"
INNOVATION DIPLOMA PLUS,M,3,CLIMATE CONTROL / LOW VOLTAGE ELECTRICAL SYSTEM / VENTILATION,11221212,CIP,M470,145 WEST 84 STREET,Manhattan,10024,MANHATTAN,40.785803,-73.974614,107,6,1032128,1012150001,169,MN0702,"(40.785803, -73.974614)"
P.S. 18 - QUEENS,Q,26,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6420000,CIP,Q018,86-35 235 COURT,Queens,11427,QUEENS,40.732112,-73.73246,413,23,4166561,4079550002,1621,QN1302,"(40.732112, -73.73246)"
J.H.S. 189 - QUEENS,Q,25,LOW VOLTAGE ELECTRICAL SYSTEM,900000,CIP,Q189,144-80 BARCLAY AVENUE,Queens,11355,QUEENS,40.759844,-73.820548,407,20,4114763,4050510027,863,QN0704,"(40.759844, -73.820548)"
P.S. 70 - BRONX,X,9,STH SBHC,3250000,CIP,X070,1691 WEEKS AVENUE,Bronx,10457,BRONX,40.844253,-73.907616,204,15,2007387,2027930028,22902,BX0403,"(40.844253, -73.907616)"
P.S. 48 - BROOKLYN,K,20,PATH OF TRAVEL PLAYGROUND UPGRADE / PLAYGROUNDS,1600000,CIP,K048,6015 18 AVENUE,Brooklyn,11204,BROOKLYN,40.621871,-73.987396,312,44,3132140,3055190001,244,BK1204,"(40.621871, -73.987396)"
P.S. 117 - QUEENS,Q,28,LSP DOMESTIC WATER HEATER,84450,CIP,Q117,85-15 143RD STREET,Queens,11435,QUEENS,40.709463,-73.813376,408,24,4208040,4097230150,232,QN0805,"(40.709463, -73.813376)"
P.S. 150 - QUEENS,Q,30,LSP DOMESTIC WATER HEATER,255944.76,CIP,Q150,40-01 43 AVENUE,Queens,11104,QUEENS,40.745537,-73.923776,402,26,4002387,4001850001,18101,QN0202,"(40.745537, -73.923776)"
P.S. 194 - BROOKLYN,K,22,FULL PROGRAM ACCESSIBILITY,10990000,CIP,K194,3117 AVENUE W,Brooklyn,11229,BROOKLYN,40.596757,-73.933499,315,46,3201629,3073930001,570,BK1503,"(40.596757, -73.933499)"
I.S. 278 - BROOKLYN,K,22,EXTERIOR MASONRY / ROOFS,1868000,CIP,K278,1925 STUART STREET,Brooklyn,11229,BROOKLYN,40.60665,-73.939176,315,46,3239889,3084960100,666,BK1891,"(40.60665, -73.939176)"
I.S. 529 - BRONX,X,11,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS,26900000,CIP,X142,3750 BAYCHESTER AVENUE,Bronx,10466,BRONX,40.884953,-73.840524,212,12,2066190,2049350001,48402,BX1202,"(40.884953, -73.840524)"
THE LONGWOOD ACADEMY OF DISCOVERY - X,X,8,LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,42000,CIP,X060,888 REV. J.A. POLITE AVENUE,Bronx,10459,BRONX,40.820403,-73.898912,202,17,2005348,2026960085,87,BX0202,"(40.820403, -73.898912)"
P.S. 329 - BROOKLYN,K,21,IPDVS INSTALLATIONS,378850,CIP,K329,2929 WEST 30 STREET,Brooklyn,11224,BROOKLYN,40.574607,-73.996292,313,47,3189517,3070510001,342,BK1302,"(40.574607, -73.996292)"
P.S. 160 - QUEENS,Q,28,EXISTING BUILDING WORK- ELECTRICAL SYSTEMS / EXISTING BUILDING WORK-IPDVS,2233609.2,CIP,Q160,109-59 INWOOD STREET,Queens,11435,QUEENS,40.688103,-73.800415,412,28,4258143,4119420302,196,QN1202,"(40.688103, -73.800415)"
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,X,9,FLOOD ELIMINATION,791275,CIP,X148,3630 THIRD AVENUE,Bronx,10456,BRONX,40.833511,-73.90449,203,16,2009611,2029250001,14701,BX0302,"(40.833511, -73.90449)"
P.S. 206 - BROOKLYN,K,22,Addition,59600000,CAP,K206,2200 GRAVESEND NECK ROAD,Brooklyn,11229,BROOKLYN,40.597369,-73.948946,315,48,3201080,3073810201,59403,BK1503,"(40.597369, -73.948946)"
QUEENS SATELLITE HS FOR OPPORTUNITY - Q,Q,28,IPDVS INSTALLATIONS,540000,CIP,Q595,162-02 HILLSIDE AVENUE,Queens,11432,QUEENS,40.70848,-73.800065,412,24,4209031,4097680022,44602,QN1201,"(40.70848, -73.800065)"
THE HERITAGE SCHOOL - MANHATTAN,M,4,IPDVS INSTALLATIONS,495000,CIP,M107,1680 LEXINGTON AVENUE,Manhattan,10029,MANHATTAN,40.791881,-73.946558,111,8,1051991,1016330013,172,MN1101,"(40.791881, -73.946558)"
P.S. 54 - BROOKLYN,K,13,FLOOD ELIMINATION,1235100,CIP,K054,195 SANDFORD STREET,Brooklyn,11205,BROOKLYN,40.692741,-73.952981,303,33,3049020,3017650015,241,BK0301,"(40.692741, -73.952981)"
I.S. 234 - BROOKLYN,K,22,INTERIOR SPACES,2740580,CIP,K234,1875 EAST 17 STREET,Brooklyn,11229,BROOKLYN,40.60422,-73.955485,315,48,3184057,3068210244,558,BK1502,"(40.60422, -73.955485)"
P.S. 295 - BROOKLYN,K,15,CAFETERIA/GYMNASIUM FLOOR SUBSTRATE / CLASSROOMS & CORRIDOR FLOORS / EXTERIOR MASONRY / FLOOD ELIMINATION / FY13 RESO A GYMNASIUM UPGRADE / GYMNASIUM FLOOR / PARAPETS / ROOFS,9114000,CIP,K845,330 18 STREET,Brooklyn,11215,BROOKLYN,40.660976,-73.988297,307,39,3331274,3008800001,147,BK0702,"(40.660976, -73.988297)"
AVIATION HS - QUEENS,Q,24,TEMPORARY FILTER WORK,279406,CIP,Q610,45-30 36 STREET,Queens,11101,QUEENS,40.743509,-73.929076,402,26,4436685,4002260001,17902,QN0202,"(40.743509, -73.929076)"
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS,M,3,BMS UPGRADE / CHILLER REPLACEMENT / FIRE ALARM REPLACEMENT,15766000,CIP,M088,215 WEST 114 STREET,Manhattan,10026,MANHATTAN,40.802207,-73.954142,110,9,1055204,1018300019,218,MN1001,"(40.802207, -73.954142)"
P.S. 89 - QUEENS,Q,24,LSP DOMESTIC WATER HEATER,195000,CIP,Q089,85-28 BRITTON AVENUE,Queens,11373,QUEENS,40.745923,-73.880205,404,25,4037370,4015140001,27101,QN0401,"(40.745923, -73.880205)"
MANHTN CT FOR MATH & SCI. HS - M,M,4,RPZ BACKFLOW PREVENTION DEVICES,747000,CIP,M435,260 PLEASANT AVENUE,Manhattan,10029,MANHATTAN,40.793856,-73.934028,111,8,1053152,1017130001,178,MN1102,"(40.793856, -73.934028)"
P.S. 46 - QUEENS,Q,26,WORK IN EXISTING BUILDING,6795900,CIP,Q046,64-29 218 STREET,Queens,11364,QUEENS,40.74621,-73.758756,411,23,4620806,4076190001,1367,QN1104,"(40.74621, -73.758756)"
I.S. 265 - BROOKLYN,K,13,EXTERIOR MASONRY / PARAPETS / ROOFS,10301778,CIP,K265,101 PARK AVENUE,Brooklyn,11205,BROOKLYN,40.696324,-73.97578,302,35,3057942,3020280001,211,BK0203,"(40.696324, -73.97578)"
I.S. 109 - QUEENS,Q,29,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS / WINDOWS,12400000,CIP,Q109,213-10 92 AVENUE,Queens,11428,QUEENS,40.720713,-73.747001,413,23,4226839,4106260001,542,QN1303,"(40.720713, -73.747001)"
P.S. 446 - BROOKLYN,K,23,COVID VENTILATION,4195000,CIP,K183,76 RIVERDALE AVENUE,Brooklyn,11212,BROOKLYN,40.660204,-73.913933,316,41,3082253,3035970011,896,BK1602,"(40.660204, -73.913933)"
P.S. 29 - QUEENS,Q,25,FLOOD ELIMINATION,8523000,CIP,Q029,125-10 23 AVENUE,Queens,11356,QUEENS,40.778601,-73.843187,407,19,4099925,4042290014,907,QN0701,"(40.778601, -73.843187)"
P.S. 110 - BRONX,X,9,EXTERIOR MASONRY / FIRE ALARM / FULL PROGRAM ACCESSIBILITY / PARAPETS,14690000,CIP,X110,580 CROTONA PARK SOUTH,Bronx,10456,BRONX,40.835286,-73.900751,203,15,2009718,2029320001,149,BX0301,"(40.835286, -73.900751)"
GROVER CLEVELAND HS - QUEENS,Q,24,EXTERIOR DOORS / EXTERIOR MASONRY,2979000,CIP,Q485,21-27 HIMROD STREET,Queens,11385,QUEENS,40.711033,-73.908814,405,30,4080227,4033630001,59501,QN0502,"(40.711033, -73.908814)"
JOHN DEWEY ANNEX - BROOKLYN,K,21,Demo,2184709,CAP,K358,106 AVENUE X,Brooklyn,,,,,,,,,,,
I.S. 151 - BRONX,X,7,IPDVS CAMERA INSTALLATION,495000,CIP,X151,250 EAST 156 STREET,Bronx,10451,BRONX,40.823033,-73.921238,204,16,2002458,2024430190,61,BX0401,"(40.823033, -73.921238)"
BUSHWICK LEADERS - K,K,32,CERTIFICATE OF OCCUPANCY / FIRE SPRINKLER SYSTEM,13088000,CIP,K865,797 BUSHWICK AVENUE,Brooklyn,11221,BROOKLYN,40.695056,-73.92814,304,34,3073761,3032420001,393,BK0401,"(40.695056, -73.92814)"
SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH - NE,K,22,IPDVS CAMERA INSTALLATION,528000,CIP,K864,3109 NEWKIRK AVENUE,Brooklyn,11226,BROOKLYN,40.640066,-73.947253,317,45,3112334,3049650001,830,BK1702,"(40.640066, -73.947253)"
P.S. 85 ANNEX - QUEENS,Q,30,New,56350000,CAP,Q489,23-35 29 STREET,Queens,11105,QUEENS,40.774348,-73.91471,401,22,,,115,QN0101,"(40.774348, -73.91471)"
I.S. 241 - BRONX,X,9,IPDVS FULL CAMERA UPGRADE / IPDVS INSTALLATION,337000,CIP,X970,1595 BATHGATE AVENUE,Bronx,10457,BRONX,40.839244,-73.901316,203,15,2009555,2029130001,167,BX0302,"(40.839244, -73.901316)"
P.S. 225 - MANHATTAN,M,2,FY23 RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,2470000,CIP,M480,317 EAST 67 STREET,Manhattan,10065,MANHATTAN,40.765359,-73.960059,108,5,1083343,1014420001,118,MN0801,"(40.765359, -73.960059)"
P.S. 93 - BROOKLYN,K,13,IPDVS CAMERA INSTALLATION / IPDVS NSTALLATION,472000,CIP,K093,31 NEW YORK AVENUE,Brooklyn,11216,BROOKLYN,40.679097,-73.94684,303,36,3053993,3018680007,247,BK0301,"(40.679097, -73.94684)"
P.S. 452 - MANHATTAN,M,3,FULL PROGRAM ACCESSIBILITY,12427000,CIP,M191,210 WEST 61 STREET,Manhattan,10023,MANHATTAN,40.771966,-73.987429,107,6,1030320,1011520029,147,MN0701,"(40.771966, -73.987429)"
EPIC HIGH SCHOOL - SOUTH,Q,27,SCIENCE LAB,3680100,CIP,Q226,121-10 ROCKAWAY BOULEVARD,Queens,11420,QUEENS,40.675771,-73.816938,410,28,4253607,4117140100,840,QN1001,"(40.675771, -73.816938)"
P.S. 135 - QUEENS,Q,29,ELECTRICAL WORK FOR A/C INITIATIVE,41043,CIP,Q135,207-11 89TH AVENUE,Queens,11427,QUEENS,40.720154,-73.757367,413,23,4225816,4105820016,49202,QN1303,"(40.720154, -73.757367)"
I.S. 143 - MANHATTAN,M,6,FACADE REMEDIATION @ M143 / WINDOWS,25645000,CIP,M143,511 WEST 182 STREET,Manhattan,10033,MANHATTAN,40.848908,-73.930948,112,10,1063703,1021550035,269,MN1202,"(40.848908, -73.930948)"
P.S. /I.S 295 - QUEENS,Q,29,EXTERIOR MASONRY / PARAPETS / ROOFS / RTU REPLACEMENT,10796000,CIP,Q263,222-14 JAMAICA AVENUE,Queens,11428,QUEENS,40.720619,-73.731997,413,23,4231378,4108130005,568,QN1303,"(40.720619, -73.731997)"
P.S. 123 - QUEENS,Q,27,LSP DOMESTIC WATER HEATER REPLACEMENT,147058.92,CIP,Q123,145-01 119 AVENUE,Queens,11436,QUEENS,40.678296,-73.79562,412,28,4260828,4120190010,18402,QN1203,"(40.678296, -73.79562)"
P.S. 169 - QUEENS,Q,25,FIRE ALARM SYSTEM / WORK IN SUPPORT OF ADDITION,5418106.85,CIP,Q169,18-25 212 STREET,Queens,11360,QUEENS,40.782248,-73.779063,407,19,4131147,4058650050,99704,QN0703,"(40.782248, -73.779063)"
P.S. 31 - STATEN ISLAND,R,31,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,8370000,CIP,R031,55 LAYTON AVENUE,Staten Island,10301,STATEN IS,40.641595,-74.085135,501,49,5001150,5000490182,9,SI0101,"(40.641595, -74.085135)"
CONCORD HS - R,R,31,FY22 RESO A (MA) CULINARY KITCHEN / PATH OF TRAVEL RESO A (MA) CULINARY KITCHEN,2587000,CIP,R470,109 RHINE AVENUE,Staten Island,10304,STATEN IS,40.610868,-74.087379,501,49,5043479,5028850001,4004,SI0103,"(40.610868, -74.087379)"
X186 SPED - BRONX,X,12,FULL PROGRAM ACCESSIBILITY,7272000,CIP,X136,750 JENNINGS STREET,Bronx,10459,BRONX,40.83182,-73.898075,203,17,2010344,2029690001,151,BX0301,"(40.83182, -73.898075)"
PERFORMING ARTS AND TECH. HS - K,K,19,PATH OF TRAVEL SCIENCE LAB UPGRADE / SCIENCE LAB UPGRADES,1583220,CIP,K435,400 PENNSYLVANIA AVENUE,Brooklyn,11207,BROOKLYN,40.667456,-73.894747,305,42,3084440,3037880001,1156,BK0502,"(40.667456, -73.894747)"
HS FOR ARTS & TECHNOLOGY - M,M,3,AUDITORIUM FIRE SAFETY SYSTEM UPGRADE,1495000,CIP,M490,122 AMSTERDAM AVENUE,Manhattan,10023,MANHATTAN,40.774351,-73.984753,107,6,1030343,1011570025,15101,MN0701,"(40.774351, -73.984753)"
P.S. 105 - BROOKLYN,K,20,LSP - REPLACE DOMESTIC WATER HEATER,120028,CIP,K105,1031 59 STREET,Brooklyn,11219,BROOKLYN,40.632936,-74.00374,312,43,3140612,3057020001,214,BK1202,"(40.632936, -74.00374)"
I.S. 72 - STATEN ISLAND,R,31,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,7976000,CIP,R072,33 FERNDALE AVENUE,Staten Island,10314,STATEN IS,40.593005,-74.158988,502,51,5037524,5023640001,27706,SI0204,"(40.593005, -74.158988)"
P.S. 102 - QUEENS,Q,24,FY19 RESO A ROOM CONVERSIONS/PARTITIONING,36440,CIP,Q102,55-24 VAN HORN STREET,Queens,11373,QUEENS,40.733514,-73.877857,404,30,4437597,4028790031,479,QN0401,"(40.733514, -73.877857)"
P.S. 145 - BROOKLYN,K,32,CAFETERIA FLOOR,1179575,CIP,K145,100 NOLL STREET,Brooklyn,11206,BROOKLYN,40.701621,-73.93241,304,34,3071915,3031530011,425,BK0401,"(40.701621, -73.93241)"
P.S./I.S. 218 - BRONX,X,9,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,5564000,CIP,X235,1220 GERARD AVENUE,Bronx,10452,BRONX,40.835847,-73.920026,204,16,2097130,2024800008,197,BX0401,"(40.835847, -73.920026)"
P.S. 19 - MANHATTAN,M,1,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6866000,CIP,M019,185 1 AVENUE,Manhattan,10003,MANHATTAN,40.729636,-73.983818,103,2,1006478,1004530034,4001,MN0303,"(40.729636, -73.983818)"
P.S. 3 - STATEN ISLAND,R,31,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6930000,CIP,R003,80 SOUTH GOFF AVENUE,Staten Island,10309,STATEN IS,40.520699,-74.211264,503,51,5083311,5067960044,198,SI0304,"(40.520699, -74.211264)"
P.S. 161 - BROOKLYN,K,17,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,16588000,CIP,K161,330 CROWN STREET,Brooklyn,11225,BROOKLYN,40.666181,-73.949013,309,35,3034181,3012970026,319,BK0901,"(40.666181, -73.949013)"
P.S. 66 - BRONX,X,12,FY22 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,448000,CIP,X066,1001 JENNINGS STREET,Bronx,10460,BRONX,40.831165,-73.887094,203,17,2010916,2030080001,157,BX0303,"(40.831165, -73.887094)"
ALFRED E. SMITH HS - X,X,7,IPDVS CAMERA INSTALLATION,568596,CIP,X600,333 EAST 151 STREET,Bronx,10451,BRONX,40.818232,-73.919867,201,17,2001874,2024110022,67,BX0102,"(40.818232, -73.919867)"
