School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1
P.S. 95 - QUEENS,Q,29,Demo,2309000,CAP,Q095,179-01 90 AVENUE,Queens,11432,QUEENS,40.710624,-73.783423,412,23,4446042,4099140001,468,QN1201,"(40.710624, -73.783423)"
FRANCIS LEWIS HS ANNEX - QUEENS,Q,78,New,45475000,CAP,Q434,174-25 59TH AVENUE,Queens,11365,QUEENS,40.7405,-73.796851,411,20,4617811,4068820001,1417,QN1101,"(40.7405, -73.796851)"
P.S. / I.S. 270 - QUEENS,Q,29,LSP DOMESTIC WATER HEATER,148130.95,CIP,Q270,233-15 MERRICK BOULEVARD,Queens,11422,QUEENS,40.674831,-73.736713,413,31,4529511,4129730001,618,QN1305,"(40.674831, -73.736713)"
P.S. 20 - MANHATTAN,M,1,EXTERIOR MASONRY / PARAPETS / ROOFS / SECURITY LIGHTING / WINDOWS,11515000,CIP,M020,166 ESSEX STREET,Manhattan,10002,MANHATTAN,40.72154,-73.986648,103,1,1004325,1003550001,3001,MN0302,"(40.72154, -73.986648)"
HILLSIDE ACADEMY FOR ARTS AND LETTERS - Q,Q,28,LSP DOMESTIC WATER HEATER,12107.82,CIP,Q470,167-01 GOTHIC DRIVE,Queens,11432,QUEENS,40.713218,-73.797237,408,24,4448806,4098580100,452,QN0805,"(40.713218, -73.797237)"
P.S. 164 - BROOKLYN,K,20,COVID FIRE ALARM REPLACEMENT / COVID VENTILATION,6775000,CIP,K164,4211 14 AVENUE,Brooklyn,11219,BROOKLYN,40.637486,-73.985955,312,44,3135976,3056000001,232,BK1202,"(40.637486, -73.985955)"
P.S. 158 - BROOKLYN,K,19,STRUCTURAL DEFECTS,497001,CIP,K158,400 ASHFORD STREET,Brooklyn,11207,BROOKLYN,40.672579,-73.884803,305,42,3089176,3040150001,1150,BK0502,"(40.672579, -73.884803)"
P.S. @ 4513 8 AVENUE - BROOKLYN,K,15,New,47833546,CAP,K730,4513 8 AVENUE,Brooklyn,11220,BROOKLYN,40.643781,-74.000926,312,38,3011760,3007510001,9402,BK1201,"(40.643781, -74.000926)"
J.H.S. 52 - MANHATTAN,M,6,IPDVS CAMERA INSTALLATION,129800,CIP,M052,650 ACADEMY STREET,Manhattan,10034,MANHATTAN,40.866053,-73.924835,112,10,1076776,1022330020,291,MN1203,"(40.866053, -73.924835)"
P.S. 219 - QUEENS,Q,25,IPDVS INSTALLATIONS,425500,CIP,Q219,144-39 GRAVETT ROAD,Queens,11367,QUEENS,40.735277,-73.823749,408,24,4448708,4065070001,809,QN0801,"(40.735277, -73.823749)"
P.S./I.S. 499 - QUEENS,Q,25,LSP DOMESTIC WATER HEATER REPLACEMENT,100000,CIP,Q499,148-20 REEVES AVENUE,Queens,11367,QUEENS,40.739246,-73.822057,408,24,4467571,4065070150,809,QN0801,"(40.739246, -73.822057)"
P.S. 274 - BROOKLYN,K,32,PATH OF TRAVEL BASKETBALL PLAY YARD RENOVATION / PLAYGROUND REDEVELOPMEMT,845480,CIP,K274,800 BUSHWICK AVENUE,Brooklyn,11221,BROOKLYN,40.694921,-73.927931,304,34,3073752,3032410037,393,BK0401,"(40.694921, -73.927931)"
"MATH, SCI., RESEARCH & TECH. HS-Q",Q,29,FY20 RESO A LOW VOLTAGE,1134000,CIP,Q490,207-01 116 AVENUE,Queens,11411,QUEENS,40.697819,-73.745728,413,27,4238003,4110490001,53401,QN1304,"(40.697819, -73.745728)"
BROOKLYN INTERNATIONAL HS - K,K,13,LSP VACUUM PUMP SET REPLACEMENT,37969,CIP,K805,49 FLATBUSH AVENUE EXTENSION,Brooklyn,11201,BROOKLYN,40.697339,-73.985016,302,33,3000216,3001200020,1501,BK0202,"(40.697339, -73.985016)"
P.S. 33 - QUEENS,Q,29,FY20 RESO A GYMNASIUM UPGRADE,80000,CIP,Q033,91-37 222 STREET,Queens,11428,QUEENS,40.727134,-73.735077,413,23,4230589,4107560001,560,QN1303,"(40.727134, -73.735077)"
P.S. 154 - QUEENS,Q,25,IPDVS INSTALLATIONS,379000,CIP,Q154,75-02 162 STREET,Queens,11366,QUEENS,40.726769,-73.806894,408,24,4148003,4068340001,1257,QN0802,"(40.726769, -73.806894)"
HARLEM RENAISSANCE HS - M,M,5,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,7578786,CIP,M911,22 EAST 128 STREET,Manhattan,10035,MANHATTAN,40.807987,-73.940061,111,9,1054159,1017520059,206,MN1102,"(40.807987, -73.940061)"
I.S. 267 - BROOKLYN,K,16,SCIENCE LAB UPGRADE,2151000,CIP,K324,800 GATES AVENUE,Brooklyn,11221,BROOKLYN,40.68832,-73.932275,303,36,3044657,3016360001,293,BK0302,"(40.68832, -73.932275)"
P.S. 188 - BROOKLYN,K,21,FY21 RESO A AUDITORIUM UPGRADE,697000,CIP,K188,3314 NEPTUNE AVENUE,Brooklyn,11224,BROOKLYN,40.577217,-74.000194,313,47,3188726,3070060001,328,BK1302,"(40.577217, -74.000194)"
MIDWOOD HS - BROOKLYN,K,22,ELECTRICAL WORK FOR A/C INITIATIVE,4510,CIP,K405,2839 BEDFORD AVENUE,Brooklyn,11210,BROOKLYN,40.633237,-73.952929,314,45,3205788,3075530041,772,BK1401,"(40.633237, -73.952929)"
P.S. 29 - BROOKLYN,K,15,LSP WATER BOOSTER PUMP SET REPLACEMENT,120000,CIP,K029,425 HENRY STREET,Brooklyn,11201,BROOKLYN,40.686959,-73.998053,306,39,3255627,3003110001,45,BK0601,"(40.686959, -73.998053)"
P.S. 222 - BROOKLYN,K,22,IPDVS CAMERA INSTALLATION,487000,CIP,K222,3301 QUENTIN ROAD,Brooklyn,11234,BROOKLYN,40.613317,-73.938871,318,46,3212254,3077060001,646,BK1802,"(40.613317, -73.938871)"
P.S. 226 - BROOKLYN,K,21,IPDVS INSTALLATIONS,367000,CIP,K226,6006 23 AVENUE,Brooklyn,11204,BROOKLYN,40.615252,-73.97635,312,44,3172071,3065490024,446,BK1204,"(40.615252, -73.97635)"
MEDGAR EVERS COLLEGE PREP SCHOOL ANNEX - BROOKLYN,K,78,Demo,1859000,CAP,K134,1186 CARROLL STREET,Brooklyn,11225,BROOKLYN,40.667195,-73.951167,309,35,3348092,3012890025,321,BK0901,"(40.667195, -73.951167)"
I.S. 492- BROOKLYN,K,13,EXTERIOR MASONRY / ROOFS / WINDOWS,11617300,CIP,K305,344 MONROE STREET,Brooklyn,11216,BROOKLYN,40.686076,-73.945229,303,36,3051458,3018190014,265,BK0301,"(40.686076, -73.945229)"
G MCCOWN EXPEDITIONARY LRNG SCL- R,R,31,FY20 RESO A LIBRARY UPGRADE / FY21 RESO A SCIENCE LAB UPGRADES,1442000,CIP,R043,100 ESSEX DRIVE,Staten Island,10314,STATEN IS,40.581315,-74.158589,502,51,5149609,5024500320,27702,SI0204,"(40.581315, -74.158589)"
I.S. 227 - QUEENS,Q,30,PA SYSTEM REPLACEMENT,1380000,CIP,Q227,32-02 JUNCTION BOULEVARD,Queens,11369,QUEENS,40.758408,-73.874472,403,21,4034891,4014230001,353,QN0302,"(40.758408, -73.874472)"
P.S. 84 - BROOKLYN,K,14,OTHER SITEWORK / ROOFS / WATER PENETRATION ALONG PARAPET WALL,4851500,CIP,K084,250 BERRY STREET,Brooklyn,11249,BROOKLYN,40.714785,-73.963,301,34,3062766,3023910001,551,BK0102,"(40.714785, -73.963)"
HIGH SCHOOL FOR CIVIL RIGHTS - K,K,19,EARLY DEMO PACKAGE,1925234,CIP,K436,125-08 FLATLANDS AVENUE,Brooklyn,11208,BROOKLYN,40.658428,-73.873063,305,42,3098292,3044510001,107001,BK0504,"(40.658428, -73.873063)"
P.S. 206 - MANHATTAN,M,4,IPDVS INSTALLATIONS,590000,CIP,M206,508 EAST 120 STREET,Manhattan,10035,MANHATTAN,40.797467,-73.930868,111,8,1084005,1018160001,192,MN1102,"(40.797467, -73.930868)"
P.S. 264 - BROOKLYN,K,20,FY23 RESO A AUDITORIUM UPGRADE,298000,CIP,K264,371 89 STREET,Brooklyn,11209,BROOKLYN,40.620957,-74.03015,310,47,3413664,3060620141,60,BK1001,"(40.620957, -74.03015)"
EDWARD R. MURROW HS - K,K,21,IDA GYM FLOOR REPLACEMENT @ K525,893919,CIP,K525,1600 AVENUE L,Brooklyn,11230,BROOKLYN,40.620525,-73.959285,314,44,3180673,3067340109,768,BK1403,"(40.620525, -73.959285)"
P.S. @ 2347 MORRIS AVENUE - BRONX,X,10,New,57302000,CAP,X469,2347 MORRIS AVENUE,Bronx,10468,BRONX,40.859448,-73.901113,205,14,2000000,2031830026,239,BX0503,"(40.859448, -73.901113)"
J.H.S. 237 - QUEENS,Q,25,FY20 RESO A SUPPLEMENTAL COOLING,750000,CIP,Q237,46-21 COLDEN STREET,Queens,11355,QUEENS,40.749545,-73.822073,407,20,4116436,4051470001,845,QN0705,"(40.749545, -73.822073)"
P.S. 172 - BROOKLYN,K,15,COVID VENTILATION,306113,CIP,K172,825 4 AVENUE,Brooklyn,11232,BROOKLYN,40.657914,-74.000652,307,38,3009847,3006690001,101,BK0702,"(40.657914, -74.000652)"
P.S. 83 - MANHATTAN,M,4,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,5984000,CIP,M083,219 EAST 109 STREET,Manhattan,10029,MANHATTAN,40.793194,-73.942548,111,8,1052436,1016590012,180,MN1102,"(40.793194, -73.942548)"
I.S. 2 - STATEN ISLAND,R,31,FLOOD ELIMINATION,579000,CIP,R002,333 MIDLAND AVENUE,Staten Island,10306,STATEN IS,40.576725,-74.100726,502,50,5053571,5036960100,11203,SI0202,"(40.576725, -74.100726)"
P.S. 146 - MANHATTAN,M,4,RPZ BACKFLOW PREVENTION DEVICES,849000,CIP,M146,421 EAST 106 STREET,Manhattan,10029,MANHATTAN,40.789295,-73.939262,111,8,1052999,1017000001,162,MN1101,"(40.789295, -73.939262)"
P.S. 193 - QUEENS,Q,25,PATH OF TRAVEL TCU REMOVAL / PLAYGROUND REDEVELOPMENT / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / TCU REMOVAL/PLAYGROUND REDEVELOPMENT,9648457.65,CIP,Q193,152-20 11 AVENUE,Queens,11357,QUEENS,40.792483,-73.809741,407,19,4103056,4045380001,987,QN0702,"(40.792483, -73.809741)"
I.S. 127 - BRONX,X,11,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,9603000,CIP,X127,1560 PURDY STREET,Bronx,10462,BRONX,40.837931,-73.853524,209,18,2041247,2039480055,222,BX0904,"(40.837931, -73.853524)"
P.S. 98 - QUEENS,Q,26,DETERIORATED MASONRY,3957000,CIP,Q098,40-20 235 STREET,Queens,11363,QUEENS,40.769271,-73.749369,411,19,4168629,4080820285,1483,QN1103,"(40.769271, -73.749369)"
P.S. 96 - BRONX,X,11,FY22 RESO A PLAYGROUND UPGRADE,212000,CIP,X096,2385 OLINVILLE AVENUE,Bronx,10467,BRONX,40.860815,-73.868527,211,15,2049999,2043410013,33201,BX1104,"(40.860815, -73.868527)"
P.S. 6 - MANHATTAN,M,2,FY21 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,519000,CIP,M006,45 EAST 81 STREET,Manhattan,10028,MANHATTAN,40.777455,-73.960713,108,4,1046668,1014930021,142,MN0802,"(40.777455, -73.960713)"
CHANNEL VIEW SCL FOR RESEARCH - Q,Q,27,EXTERIOR MASONRY / FLOOD ELIMINATION,3996786,CIP,Q410,100-00 BEACH CHANNEL DRIVE,Queens,11694,QUEENS,40.586066,-73.822624,414,32,4303773,4161670099,94201,QN1402,"(40.586066, -73.822624)"
P.S. 16 - BRONX,X,11,EXTERIOR MASONRY / FLOOD ELIMINATION / PAVED AREA- CONCRETE / ROOFS / RPZ BACKFLOW PREVENTION DEVICES,4852803,CIP,X016,4550 CARPENTER AVENUE,Bronx,10470,BRONX,40.902205,-73.854829,212,11,2070894,2050760031,414,BX1203,"(40.902205, -73.854829)"
P.S. 70 - QUEENS,Q,30,FY20 RESO LIBRARY UPGRADE,293000,CIP,Q070,30-45 42 STREET,Queens,11103,QUEENS,40.762103,-73.914227,401,22,4442503,4006960014,149,QN0104,"(40.762103, -73.914227)"
P.S. 225 - MANHATTAN,M,2,EXTERIOR DOORS / EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,18888000,CIP,M480,317 EAST 67 STREET,Manhattan,10065,MANHATTAN,40.765359,-73.960059,108,5,1083343,1014420001,118,MN0801,"(40.765359, -73.960059)"
I.S. 391 - BRONX,X,10,LOW VOLTAGE ELECTRICAL SYSTEMS,2289000,CIP,X137,2225 WEBSTER AVENUE,Bronx,10457,BRONX,40.854515,-73.896703,205,15,2013307,2031430043,379,BX0502,"(40.854515, -73.896703)"
P.S. 123 - QUEENS,Q,27,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,23910000,CIP,Q123,145-01 119 AVENUE,Queens,11436,QUEENS,40.678296,-73.79562,412,28,4260828,4120190010,18402,QN1203,"(40.678296, -73.79562)"
P.S. 139 - QUEENS,Q,28,AUDITORIUM WATER INFILTRATION / ROOF TOP UNIT REPLACEMENTS,6436000,CIP,Q139,93-06 63 DRIVE,Queens,11374,QUEENS,40.72814,-73.863582,406,30,4072457,4030950050,693,QN0601,"(40.72814, -73.863582)"
P.S. 6 - BRONX,X,12,EXTERIOR MASONRY / FIRE ALARM SYSTEM REPLACEMENT / FLOOD ELIMINATION / PARAPETS / ROOFS / VENTILATION,10283000,CIP,X006,1000 EAST TREMONT AVENUE,Bronx,10460,BRONX,40.840755,-73.881707,206,15,2010892,2030050010,359,BX0601,"(40.840755, -73.881707)"
P.S. 15 - BROOKLYN,K,15,EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY / ROOFS / WINDOWS,17924068.17,CIP,K015,71 SULLIVAN STREET,Brooklyn,11231,BROOKLYN,40.677343,-74.011558,306,38,3008585,3005660001,5301,BK0601,"(40.677343, -74.011558)"
P.S. 223 - QUEENS,Q,27,LSP- DOMESTIC HOT WATER HEATER,237744.76,CIP,Q223,125-20 SUTPHIN BOULEVARD,Queens,11434,QUEENS,40.674541,-73.789417,412,28,4261713,4120510001,18401,QN1203,"(40.674541, -73.789417)"
P.S. 287 - BROOKLYN,K,13,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,7117000,CIP,K287,50 NAVY STREET,Brooklyn,11201,BROOKLYN,40.697901,-73.98054,302,35,3000203,3001110001,23,BK0202,"(40.697901, -73.98054)"
Q224 SPED - QUEENS,Q,26,LOCKER ROOM & BATHROOM UPGRADE,1509211,CIP,Q809,221-21 CORBETT ROAD,Queens,11361,QUEENS,40.770276,-73.764033,411,19,4438249,4061850001,1113,QN1102,"(40.770276, -73.764033)"
P.S. 60 - STATEN ISLAND,R,31,LSP REPLACE UNIVENTS,355900,CIP,R060,55 MERRILL AVENUE,Staten Island,10314,STATEN IS,40.610073,-74.162129,502,50,5031151,5015800044,29104,SI0204,"(40.610073, -74.162129)"
P.S. 42 - MANHATTAN,M,2,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,12360911,CIP,M042,71 HESTER STREET,Manhattan,10002,MANHATTAN,40.715905,-73.990895,103,1,1003998,1003090001,16,MN0301,"(40.715905, -73.990895)"
P.S. 212 - BRONX,X,12,EXTERIOR MASONRY / PARAPETS / PLAYGROUND REDEVELOPMENT / ROOFS / WINDOWS,18425000,CIP,X198,1180 TINTON AVENUE,Bronx,10456,BRONX,40.828419,-73.900721,203,17,2004869,2026720001,135,BX0301,"(40.828419, -73.900721)"
CONEY ISLAND #1 HEAD START,K,21,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,1835354,CIP,KBUH,2960 WEST 27 STREET,Brooklyn,11224,BROOKLYN,40.573588,-73.992855,313,47,3339183,3070520034,342,BK1302,"(40.573588, -73.992855)"
