BIN,Accident Report ID,Incident Date,Record Type Description,Check2 Description,Fatality,Injury,House Number,Street Name,Borough,Block,Lot,Postcode,Latitude,Longitude,Community Board,Council District,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
4624066,43761,09/20/2024,Accident,Other Construction Related,0,1,23-30,BORDEN AVENUE,Queens,68,38,11101,40.739918,-73.947213,402,26,4000680038,104,QN0201
1080293,42991,03/20/2024,Accident,Material Failure (Fell),0,1,533,WEST 19 STREET,Manhattan,691,15,10011,40.74568,-74.007001,104,03,1006910015,9901,MN0401
1091738,42977,03/18/2024,Accident,Other Construction Related,0,1,280,EAST HOUSTON STREET,Manhattan,397,58,10002,40.721627,-73.984307,103,02,1003977503,3002,MN0303
4624117,43019,03/26/2024,Accident,Other Construction Related,0,1,147-35,95 AVENUE,Queens,9999,40,11435,40.698786,-73.805464,412,27,4099990001,208,QN1201
2051283,42896,02/29/2024,Accident,Worker Fell,0,1,2500,BARKER AVENUE,Bronx,4428,7,10467,40.863569,-73.86936,211,15,2044280007,33202,BX1104
3429802,43740,09/13/2024,Accident,Worker Fell,0,1,29,4 STREET,Brooklyn,464,51,11231,40.677701,-73.995158,306,39,3004640051,77,BK0601
1004004,42743,01/24/2024,Incident,Scaffold/Shoring Installations,0,0,62,ORCHARD STREET,Manhattan,309,10,10002,40.716953,-73.990819,103,01,1003090010,16,MN0301
3058215,42995,03/21/2024,Accident,Worker Fell,0,1,71,PRINCE STREET,Brooklyn,2050,100,11201,40.695332,-73.982413,302,35,3020500100,1501,BK0202
3020950,43307,05/29/2024,Incident,Other Construction Related,0,0,426,2 STREET,Brooklyn,975,37,11215,40.672539,-73.981023,306,39,3009750037,135,BK0602
3429285,43351,06/08/2024,Incident,Other Construction Related,0,0,972,REMSEN AVENUE,Brooklyn,7968,43,11236,40.644677,-73.910933,318,42,3079680043,962,BK1803
2129656,42890,02/28/2024,Notification,Other Construction Related,0,0,4720,3 AVENUE,Bronx,3042,13,10458,40.859417,-73.891128,206,15,2030420013,387,BX0603
4617681,42963,03/14/2024,Accident,Material Failure (Fell),0,1,26-03,1 STREET,Queens,915,7501,11102,40.776815,-73.935511,401,22,4009157501,87,QN0102
1057330,42953,03/12/2024,Accident,Other Construction Related,0,1,2875,BROADWAY,Manhattan,1894,52,10025,40.805541,-73.966248,109,07,1018940052,199,MN0901
3429227,43620,08/12/2024,Accident,Worker Fell,0,1,65,DUPONT STREET,Brooklyn,2487,17,11222,40.735668,-73.957396,301,33,3024870017,56301,BK0101
1000007,43375,06/14/2024,Accident,Other Construction Related,0,1,25,WATER STREET,Manhattan,5,10,10004,40.703026,-74.011202,101,01,1000050010,9,MN0101
1023724,42722,01/19/2024,Incident,Mechanical Construction Equipment,0,0,125,WEST 57 STREET,Manhattan,1010,15,10019,40.764727,-73.978142,105,06,1010100015,137,MN0502
1091739,43202,05/01/2024,Accident,Mechanical Construction Equipment,0,1,40,WEST 137 STREET,Manhattan,1734,2,10037,40.814603,-73.938039,110,09,1017340002,212,MN1002
1014167,43272,05/20/2024,Accident,Other Construction Related,0,1,280,8 AVENUE,Manhattan,774,1,10001,40.746043,-73.997928,104,03,1007740001,91,MN0401
4105623,43222,05/06/2024,Incident,Other Construction Related,0,0,14-22,150 STREET,Queens,4660,50,11357,40.788296,-73.813617,407,19,4046600050,981,QN0702
3429633,43315,05/31/2024,Accident,Worker Fell,0,1,164,4 AVENUE,Brooklyn,420,37,11217,40.679223,-73.981829,306,39,3004200037,11901,BK0601
3153886,43191,04/29/2024,Accident,Worker Fell,0,1,8901,SHORE ROAD,Brooklyn,6058,12,11209,40.62316,-74.040648,310,47,3060580012,50,BK1001
1089192,43473,07/03/2024,Accident,Worker Fell,0,1,375,WEST 207 STREET,Manhattan,2188,1,10034,40.863599,-73.916537,112,10,1021880001,299,MN1203
2056371,43659,08/22/2024,Accident,Material Failure (Fell),0,1,777,BURKE AVENUE,Bronx,4603,27,10467,40.871394,-73.863986,212,12,2046030027,372,BX1201
2045727,43698,09/03/2024,Accident,Other Construction Related,0,1,1340,BLONDELL AVENUE,Bronx,4134,1,10461,40.841827,-73.842073,211,13,2041340001,284,BX1161
1091692,43344,06/07/2024,Accident,Worker Fell,0,1,407,WEST 206 STREET,Manhattan,2203,9,10034,40.863178,-73.917911,112,10,1022030009,299,MN1203
4623202,42830,02/15/2024,Notification,Other Construction Related,0,1,35-15,19 AVENUE,Queens,814,10,11105,40.780061,-73.901942,401,22,4008140010,10701,QN0101
1082792,42823,02/14/2024,Accident,Mechanical Construction Equipment,0,1,335,8 AVENUE,Manhattan,751,20,10001,40.747563,-73.996849,104,03,1007510020,97,MN0401
1089192,43610,08/09/2024,Incident,Other Construction Related,0,0,375,WEST 207 STREET,Manhattan,2188,1,10034,40.863599,-73.916537,112,10,1021880001,299,MN1203
3429687,43739,09/13/2024,Accident,Other Construction Related,0,1,488,DEGRAW STREET,Brooklyn,424,1,11217,40.681104,-73.98843,306,39,3004240001,75,BK0601
1021925,43124,04/15/2024,Accident,Other Construction Related,0,1,333,EAST 38 STREET,Manhattan,944,7502,10016,40.746756,-73.972727,106,04,1009447502,78,MN0603
1064218,43619,08/12/2024,Accident,Other Construction Related,0,1,4650,BROADWAY,Manhattan,2175,1,10040,40.862326,-73.929553,112,10,1021750001,287,MN1202
3251678,43121,04/15/2024,Accident,Material Failure (Fell),0,1,470,KENT AVENUE,Brooklyn,2134,1,11249,40.707947,-73.968433,301,33,3021340001,547,BK0102
1040462,43158,04/18/2024,Accident,Worker Fell,0,1,36,SUTTON PLACE SOUTH,Manhattan,1367,20,10022,40.756239,-73.961505,106,04,1013670020,10601,MN0604
2091221,43176,04/24/2024,Accident,Scaffold/Shoring Installations,0,1,300,EAST 158 STREET,Bronx,2416,1,10451,40.823118,-73.917512,201,17,2024160001,69,BX0102
