BIN,Accident Report ID,Incident Date,Record Type Description,Check2 Description,Fatality,Injury,House Number,Street Name,Borough,Block,Lot,Postcode,Latitude,Longitude,Community Board,Council District,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
3429267,43230,05/08/2024,Accident,Worker Fell,0,1,60,CEDAR STREET,Brooklyn,3232,5,11221,40.69721,-73.927329,304,34,3032320005,423,BK0401
1091646,42725,01/19/2024,Accident,Worker Fell,0,1,212,WEST 124 STREET,Manhattan,1929,158,10027,40.808595,-73.949557,110,09,1019290057,222,MN1001
2005352,43317,05/31/2024,Accident,Worker Fell,0,1,889,DAWSON STREET,Bronx,2697,1,10459,40.81977,-73.897624,202,17,2026970001,87,BX0202
3429317,43275,05/20/2024,Accident,Worker Fell,0,1,89,DEKALB AVENUE,Brooklyn,2085,15,11201,40.689883,-73.979793,302,35,,3101,BK0203
3255289,43023,03/26/2024,Accident,Other Construction Related,0,1,2940,WEST 15 STREET,Brooklyn,7063,12,11224,40.576271,-73.982552,313,47,3070630012,348,BK1302
3188894,43731,09/11/2024,Accident,Scaffold/Shoring Installations,0,1,2832,WEST 23 STREET,Brooklyn,7015,15,11224,40.57762,-73.990378,313,47,3070150015,326,BK1302
1045212,42774,02/01/2024,Accident,Worker Fell,0,1,1487,1 AVENUE,Manhattan,1452,27,10075,40.771378,-73.953405,108,05,1014520027,134,MN0801
3344982,42790,02/05/2024,Accident,Other Construction Related,0,1,223,TEN EYCK WALK,Brooklyn,3027,1,11206,40.710527,-73.940664,301,34,3030270001,49301,BK0104
1088394,43803,10/03/2024,Accident,Worker Fell,0,1,125,WHITE STREET,Manhattan,167,1,10013,40.716715,-74.000346,101,01,1001670001,2901,MN0102
2817041,43430,06/25/2024,Accident,Worker Fell,0,1,1010,WASHINGTON AVENUE,Bronx,2369,10,10456,40.826343,-73.909635,203,16,2023690010,18501,BX0301
1013043,43354,06/08/2024,Accident,Material Failure (Fell),0,1,111,8 AVENUE,Manhattan,739,1,10011,40.740704,-74.001844,104,03,1007390001,83,MN0401
3061068,43705,09/05/2024,Accident,Worker Fell,0,1,316,RUTLEDGE STREET,Brooklyn,2228,16,11211,40.705427,-73.951825,301,33,3022280016,529,BK0103
2128965,43436,06/26/2024,Accident,Worker Fell,0,1,1001,WHITLOCK AVENUE,Bronx,2756,85,10459,40.823427,-73.887057,202,17,2027560085,119,BX0202
4624981,42842,02/19/2024,Accident,Worker Fell,0,1,143-06,135 AVENUE,Queens,12099,30,11436,40.668292,-73.796008,412,28,4120990030,792,QN1203
1001027,42928,03/08/2024,Accident,Material Failure (Fell),0,1,140,BROADWAY,Manhattan,48,1,10005,40.709043,-74.010626,101,01,1000480001,7,MN0101
1009006,43791,10/01/2024,Accident,Worker Fell,0,1,808,BROADWAY,Manhattan,557,7501,10003,40.732621,-73.991232,102,02,1005577501,61,MN0202
3429327,43434,06/26/2024,Accident,Other Construction Related,0,1,625,FULTON STREET,Brooklyn,2094,1,11201,40.688566,-73.980045,302,35,3020940001,33,BK0203
4003416,42937,03/11/2024,Accident,Other Construction Related,0,1,31-28,northern blvd,Queens,239,111,11101,40.751719,-73.933283,401,26,4002390111,17102,QN0161
3429090,43555,07/25/2024,Accident,Material Failure (Fell),0,1,305,CHESTER STREET,Brooklyn,3560,1,11212,40.664368,-73.910337,316,41,3035600001,924,BK1602
3429346,43450,06/28/2024,Accident,Worker Fell,0,1,381,VAN BRUNT STREET,Brooklyn,587,1,11231,40.676339,-74.014075,306,38,3005870001,5301,BK0601
3395377,42747,01/25/2024,Accident,Worker Fell,0,1,16,DUPONT STREET,Brooklyn,2494,6,11222,40.735419,-73.95985,301,33,3024940006,56302,BK0101
3076057,42771,01/31/2024,Accident,Worker Fell,0,1,1333,BROADWAY,Brooklyn,3321,152,11221,40.690065,-73.923046,304,37,3033210152,397,BK0402
3007353,43381,06/14/2024,Accident,Worker Fell,0,1,499,PRESIDENT STREET,Brooklyn,440,47,11215,40.678027,-73.986657,306,39,3004400001,11901,BK0601
1084081,43305,05/28/2024,Notification,Mechanical Construction Equipment,0,0,160,CONVENT AVENUE,Manhattan,1957,200,10031,40.819196,-73.950221,109,09,1019570200,21703,MN0902
3140722,43213,05/05/2024,Incident,Other Construction Related,0,0,5812,13 AVENUE,Brooklyn,5704,43,11219,40.629859,-73.997503,312,44,3057040043,192,BK1202
4620900,42732,01/22/2024,Accident,Worker Fell,0,1,72-01,QUEENS BOULEVARD,Queens,1352,125,11377,40.739401,-73.891208,402,26,4013520125,485,QN0401
2128965,43326,06/03/2024,Accident,Worker Fell,0,1,1001,WHITLOCK AVENUE,Bronx,2756,85,10459,40.823427,-73.887057,202,17,2027560085,119,BX0202
3429402,43639,08/16/2024,Accident,Worker Fell,0,1,570,FULTON STREET,Brooklyn,2106,35,11217,40.688373,-73.979605,302,35,3021060035,33,BK0203
1091704,43808,10/07/2024,Accident,Worker Fell,0,1,162,EAST 36 STREET,Manhattan,891,44,10016,40.747185,-73.977628,106,04,1008910044,80,MN0603
1085694,43741,09/13/2024,Accident,Other Construction Related,0,1,540,1 AVENUE,Manhattan,962,108,10016,40.742066,-73.974757,106,04,1009620108,62,MN0603
2007580,43598,08/06/2024,Accident,Other Construction Related,0,1,1840,ANTHONY AVENUE,Bronx,2803,2,10457,40.847574,-73.903653,205,15,2028030002,23302,BX0502
1087651,43800,10/03/2024,Incident,Other Construction Related,0,0,10,WEST END AVENUE,Manhattan,1151,7502,10023,40.771986,-73.990169,107,06,1011517502,147,MN0701
4624047,42824,02/14/2024,Accident,Worker Fell,0,1,10-20,BORDEN AVENUE,Queens,37,7,11101,40.741194,-73.953794,402,26,,104,QN0201
3251678,43104,04/11/2024,Accident,Other Construction Related,0,1,470,KENT AVENUE,Brooklyn,2134,1,11249,40.707947,-73.968433,301,33,3021340001,547,BK0102
1001021,43711,09/06/2024,Accident,Mechanical Construction Equipment,0,1,28,LIBERTY STREET,Manhattan,44,1,10005,40.708115,-74.008768,101,01,1000440001,7,MN0101
4136294,42718,01/18/2024,Incident,Other Construction Related,0,0,36-38,209 STREET,Queens,6160,25,11361,40.766168,-73.778401,411,19,4061600025,1129,QN1102
4624493,43501,07/12/2024,Accident,Worker Fell,0,1,126-55,39 AVENUE,Queens,1833,135,11368,40.756726,-73.841343,407,21,4018330135,38301,QN0707
4623357,42870,02/23/2024,Accident,Worker Fell,0,1,51-19,BEACH CHANNEL DRIVE,Queens,15843,1,11691,40.595204,-73.782638,414,31,4158430001,97204,QN1402
1048273,43638,08/16/2024,Accident,Worker Fell,0,1,150,EAST 91 STREET,Manhattan,1519,50,10128,40.782533,-73.952924,108,05,1015190050,14802,MN0802
3429227,43516,07/16/2024,Accident,Worker Fell,0,1,65,DUPONT STREET,Brooklyn,2487,17,11222,40.735668,-73.957396,301,33,3024870017,56301,BK0101
3251678,43647,08/19/2024,Accident,Worker Fell,0,1,480,KENT AVENUE,Brooklyn,2134,1,11249,40.707373,-73.968411,301,33,3021340001,547,BK0102
5046954,43349,06/07/2024,Incident,Excavation/Soil Work,0,0,36,WILSON STREET,Staten Island,3191,102,10304,40.597449,-74.090804,502,50,5031910102,9601,SI0201
3429855,43839,10/15/2024,Notification,Other Construction Related,0,1,452,THOMAS BOYLAND STREET,Brooklyn,3496,4,11212,40.669906,-73.913755,316,41,,902,BK1602
4619459,43241,05/09/2024,Accident,Worker Fell,0,1,23-15,44 ROAD,Queens,436,1,11101,40.748365,-73.944557,402,26,4004360001,1903,QN0201
3429721,42739,01/23/2024,Incident,Excavation/Soil Work,0,0,147,BAY 11 STREET,Brooklyn,6396,14,11228,40.607681,-74.010999,311,50,,172,BK1102
1076193,42850,02/20/2024,Incident,Other Construction Related,0,0,1585,BROADWAY,Manhattan,1019,7502,10036,40.760216,-73.985334,105,03,1010197502,125,MN0502
2057045,43211,05/03/2024,Accident,Material Failure (Fell),0,1,800,EAST GUN HILL ROAD,Bronx,4633,40,10467,40.875953,-73.86197,212,12,2046330040,372,BX1201
1091739,43184,04/26/2024,Incident,Material Failure (Fell),0,0,40,WEST 137 STREET,Manhattan,1734,2,10037,40.814603,-73.938039,110,09,1017340002,212,MN1002
1009429,43522,07/17/2024,Accident,Other Construction Related,0,1,20,5 AVENUE,Manhattan,572,38,10011,40.732893,-73.996323,102,02,1005720038,63,MN0202
3429214,43250,05/13/2024,Accident,Material Failure (Fell),0,1,955,STERLING PLACE,Brooklyn,1242,70,11213,40.672347,-73.946733,308,36,3012427501,341,BK0802
4548919,43541,07/22/2024,Incident,Other Construction Related,0,0,35-09,JUNCTION BOULEVARD,Queens,1737,58,11368,40.753055,-73.871634,403,21,4017370058,37502,QN0303
4619459,43669,08/26/2024,Accident,Other Construction Related,0,1,23-15,44 ROAD,Queens,436,1,11101,40.748365,-73.944557,402,26,4004360001,1903,QN0201
3332221,43492,07/10/2024,Accident,Other Construction Related,0,1,465,COLUMBIA STREET,Brooklyn,538,1,11231,40.676375,-74.006861,306,38,3005380001,85,BK0601
3116905,42930,03/08/2024,Accident,Worker Fell,0,1,158,MARTENSE STREET,Brooklyn,5090,35,11226,40.651471,-73.95386,317,40,3050900035,822,BK1701
3428561,43236,05/09/2024,Accident,Mechanical Construction Equipment,0,1,1215,FULTON STREET,Brooklyn,1842,15,11216,40.680609,-73.952845,303,36,3018420015,245,BK0301
3327107,43050,04/01/2024,Accident,Worker Fell,0,1,2886,ATLANTIC AVENUE,Brooklyn,3965,11,11207,40.677116,-73.887853,305,37,3039650011,1170,BK0501
1034211,43734,09/12/2024,Accident,Worker Fell,0,1,520,5 AVENUE,Manhattan,1259,35,10036,40.754421,-73.980213,105,04,1012590035,96,MN0502
1090832,42988,03/20/2024,Incident,Other Construction Related,0,0,125,GREENWICH STREET,Manhattan,51,14,10006,40.709174,-74.013057,101,01,1000510014,13,MN0101
3128514,42799,02/07/2024,Incident,Excavation/Soil Work,0,0,1611,46 STREET,Brooklyn,5434,83,11204,40.632397,-73.983211,312,44,3054340083,476,BK1202
1044092,43502,07/12/2024,Accident,Other Construction Related,0,1,1345,3 AVENUE,Manhattan,1431,46,10075,40.772846,-73.958332,108,05,1014310046,134,MN0801
3058228,43428,06/25/2024,Accident,Other Construction Related,0,1,111,WILLOUGHBY STREET,Brooklyn,2058,47,11201,40.69214,-73.984628,302,33,3020580047,1502,BK0202
4620885,43199,05/01/2024,Accident,Worker Fell,0,1,26-32,JACKSON AVENUE,Queens,267,21,11101,40.747551,-73.94113,402,26,4002670021,1902,QN0201
4436927,42895,02/29/2024,Accident,Worker Fell,0,1,44-01,NORTHERN BOULEVARD,Queens,704,1,11101,40.753677,-73.918732,401,22,4007040001,159,QN0104
1009430,43151,04/18/2024,Incident,Excavation/Soil Work,0,0,16,5 AVENUE,Manhattan,572,41,10011,40.732624,-73.996092,102,02,1005720041,63,MN0202
1008832,42878,02/27/2024,Incident,Scaffold/Shoring Installations,0,0,1,UNIVERSITY PLACE,Manhattan,548,1,10003,40.730785,-73.995486,102,02,1005480001,59,MN0202
3831411,43679,08/27/2024,Incident,Other Construction Related,0,0,502,WILSON AVENUE,Brooklyn,3397,36,11221,40.692153,-73.910711,304,37,3033970036,413,BK0402
2014932,43609,08/09/2024,Accident,Other Construction Related,0,1,2275,LORING PLACE,Bronx,3225,77,10468,40.861175,-73.908825,207,14,2032250077,255,BX0701
2129342,43613,08/09/2024,Incident,Mechanical Construction Equipment,0,0,1746,ANDREWS AVENUE SOUTH,Bronx,2878,183,10453,40.85037,-73.917222,205,14,2028780183,21501,BX0501
3429317,43771,09/25/2024,Accident,Worker Fell,0,1,85,DEKALB AVENUE,Brooklyn,2085,15,11201,40.689889,-73.979937,302,35,3020860034,3101,BK0203
3012902,43497,07/10/2024,Accident,Worker Fell,0,1,329,50 STREET,Brooklyn,782,56,11220,40.6472,-74.013777,307,38,3007820056,78,BK0702
2045727,43206,05/02/2024,Accident,Other Construction Related,0,1,1340,BLONDELL AVENUE,Bronx,4134,1,10461,40.841827,-73.842073,211,13,2041340001,284,BX1161
4436573,43111,04/12/2024,Accident,Worker Fell,0,1,2-29,50 AVENUE,Queens,17,1,11101,40.743502,-73.95808,402,26,4000170001,101,QN0201
5022434,43059,04/03/2024,Incident,Other Construction Related,0,0,5,DALEMERE ROAD,Staten Island,869,235,10304,40.597763,-74.101705,502,50,5008690235,17701,SI0203
3428579,43656,08/22/2024,Accident,Excavation/Soil Work,0,1,609,OSBORN STREET,Brooklyn,3628,9,11212,40.656983,-73.90555,316,42,3036280009,920,BK1602
3135716,42810,02/11/2024,Incident,Other Construction Related,0,0,4119,13 AVENUE,Brooklyn,5594,3,11219,40.639345,-73.987612,312,39,3055940003,232,BK1202
2129656,43113,04/12/2024,Accident,Worker Fell,0,1,4720,3 AVENUE,Bronx,3042,13,10458,40.859417,-73.891128,206,15,2030420013,387,BX0603
3042822,43819,10/09/2024,Incident,Other Construction Related,0,0,27,MARCUS GARVEY BOULEVARD,Brooklyn,1579,3,11206,40.698807,-73.941194,303,36,3015790003,28501,BK0302
1080074,43153,04/18/2024,Accident,Material Failure (Fell),0,1,40,EAST 4 STREET,Manhattan,531,37,10003,40.727337,-73.992073,102,02,1005310037,5502,MN0202
1082732,43665,08/23/2024,Accident,Scaffold/Shoring Installations,0,1,484,2 AVENUE,Manhattan,934,1,10016,40.740581,-73.978925,106,02,1009340001,66,MN0603
1028168,43161,04/19/2024,Accident,Worker Fell,0,1,36,WEST 66 STREET,Manhattan,1118,45,10023,40.772885,-73.979865,107,06,1011180045,149,MN0701
3325287,43369,06/12/2024,Incident,Other Construction Related,0,0,88,STARR STREET,Brooklyn,3197,17,11237,40.702097,-73.926076,304,34,3031970017,429,BK0401
2130622,43126,04/15/2024,Accident,Material Failure (Fell),0,1,97,WEST 169 STREET,Bronx,2519,27,10452,40.839538,-73.923177,204,16,,211,BX0402
1030307,43542,07/22/2024,Accident,Excavation/Soil Work,0,1,537,WEST 59 STREET,Manhattan,1151,12,10019,40.770899,-73.98874,107,06,1011510012,147,MN0701
1033691,42837,02/17/2024,Accident,Worker Fell,0,1,720,WEST END AVENUE,Manhattan,1243,1,10025,40.794723,-73.973581,107,07,1012430001,183,MN0702
3326746,43346,06/07/2024,Accident,Worker Fell,0,1,2700,ATLANTIC AVENUE,Brooklyn,3689,12,11207,40.675937,-73.894603,305,37,3036890012,1198,BK0502
2130961,43411,06/21/2024,Accident,Worker Fell,0,1,120,EAST 144 STREET,Bronx,2344,112,10451,40.816951,-73.929876,201,08,2023440112,6301,BX0401
3141047,43134,04/15/2024,Accident,Worker Fell,0,1,1271,60 STREET,Brooklyn,5711,48,11219,40.629319,-73.999308,312,44,3057110048,192,BK1202
4209632,42856,02/21/2024,Accident,Scaffold/Shoring Installations,0,1,166-20,90 AVENUE,Queens,9796,63,11432,40.70729,-73.794633,412,27,4097960063,460,QN1201
3251678,43414,06/22/2024,Accident,Worker Fell,0,1,470,KENT AVENUE,Brooklyn,2134,1,11249,40.707947,-73.968433,301,33,3021340001,547,BK0102
2130685,43671,08/26/2024,Accident,Mechanical Construction Equipment,0,1,221 D,MANIDA STREET,Bronx,2777,100,10474,40.805223,-73.885975,202,17,2027770100,9302,BX0201
3428561,43331,06/04/2024,Accident,Worker Fell,0,1,1215,Fulton street,Brooklyn,1842,15,11216,40.680609,-73.952845,303,36,3018420015,245,BK0301
3000011,43390,06/17/2024,Accident,Worker Fell,0,1,167,PLYMOUTH STREET,Brooklyn,20,1,11201,40.703756,-73.986309,302,33,3000200001,21,BK0202
1008961,43737,09/12/2024,Incident,Other Construction Related,0,0,90,EAST 10 STREET,Manhattan,555,124,10003,40.730932,-73.989573,103,02,1005550124,42,MN0303
1080352,43607,08/08/2024,Accident,Other Construction Related,0,1,450,11 AVENUE,Manhattan,708,65,10018,40.757406,-74.000787,104,03,1007080065,9903,MN0401
3007353,42706,01/16/2024,Accident,Worker Fell,0,1,499,PRESIDENT STREET,Brooklyn,440,47,11215,40.678027,-73.986657,306,39,3004400001,11901,BK0601
1014167,43777,09/27/2024,Accident,Worker Fell,0,1,280,8 AVENUE,Manhattan,774,1,10001,40.746043,-73.997928,104,03,1007740001,91,MN0401
1033105,43127,04/15/2024,Accident,Worker Fell,0,1,211,WEST 84 STREET,Manhattan,1232,14,10024,40.786594,-73.976488,107,06,1012320014,171,MN0702
1016876,43197,04/30/2024,Accident,Worker Fell,0,1,11,EAST 26 STREET,Manhattan,856,9,10010,40.743188,-73.98755,105,03,1008560009,56,MN0501
4003495,43506,07/15/2024,Accident,Other Construction Related,0,1,43-14,QUEENS STREET,Queens,266,27,11101,40.747075,-73.939149,402,26,4002660027,1902,QN0201
1083616,43129,04/15/2024,Accident,Scaffold/Shoring Installations,0,1,321,WEST 38 STREET,Manhattan,762,23,10018,40.755067,-73.992456,104,03,1007620023,115,MN0402
1015733,43099,04/09/2024,Accident,Other Construction Related,0,1,262,5 AVENUE,Manhattan,830,44,10001,40.745081,-73.987019,105,03,1008300044,76,MN0501
2045727,43748,09/16/2024,Accident,Material Failure (Fell),0,1,1340,BLONDELL AVENUE,Bronx,4134,1,10461,40.841827,-73.842073,211,13,2041340001,284,BX1161
3096591,43503,07/12/2024,Incident,Other Construction Related,0,0,674,WYONA STREET,Brooklyn,4301,22,11207,40.661981,-73.88994,305,42,3043010022,1128,BK0503
3058868,43529,07/18/2024,Notification,Excavation/Soil Work,0,0,39,SOUTH PORTLAND AVENUE,Brooklyn,2100,14,11217,40.688422,-73.974846,302,35,3021000014,181,BK0203
3333397,43540,07/22/2024,Incident,Material Failure (Fell),0,0,315,SUTTER AVENUE,Brooklyn,3526,21,11212,40.667437,-73.90821,316,41,3035260021,906,BK1602
1084612,42987,03/20/2024,Accident,Material Failure (Fell),0,1,59,HENRY STREET,Manhattan,280,15,10002,40.71299,-73.994939,103,01,1002800015,8,MN0301
4624423,43265,05/17/2024,Incident,Other Construction Related,0,0,42-06,ORCHARD STREET,Queens,265,13,11101,40.74817,-73.938805,402,26,4002650013,1902,QN0201
3426078,43563,07/29/2024,Accident,Worker Fell,0,1,85,GATEWAY DRIVE,Brooklyn,4452,231,11239,40.654028,-73.877779,305,42,3044520231,107001,BK0504
1091635,42764,01/30/2024,Accident,Worker Fell,0,1,600,WEST 125 STREET,Manhattan,1995,26,10027,40.815974,-73.958569,109,07,1019950026,211,MN0901
3426198,43554,07/25/2024,Accident,Worker Fell,0,1,532,NEPTUNE AVENUE,Brooklyn,7273,7501,11224,40.579868,-73.973025,313,48,3072737501,354,BK1302
1046252,43016,03/26/2024,Accident,Material Failure (Fell),0,1,510,EAST 62 STREET,Manhattan,1474,40,10065,40.760459,-73.958196,108,05,1014740040,10602,MN0801
3429272,43215,05/06/2024,Accident,Worker Fell,0,1,18,INDIA STREET,Brooklyn,2538,1,11222,40.731774,-73.9604,301,33,3025380001,565,BK0101
1028168,43340,06/06/2024,Incident,Other Construction Related,0,0,36,WEST 66 STREET,Manhattan,1118,45,10023,40.772885,-73.979865,107,06,1011180045,149,MN0701
4436926,43733,09/12/2024,Accident,Worker Fell,0,1,34-35,44 STREET,Queens,704,1,11101,40.754212,-73.918442,401,22,4007040001,159,QN0104
1052167,43775,09/26/2024,Accident,Worker Fell,0,1,174,EAST 110 STREET,Manhattan,1637,141,10029,40.794317,-73.94327,111,08,1016370141,172,MN1101
1022581,43688,08/30/2024,Accident,Worker Fell,0,1,1,TIMES SQUARE,Manhattan,995,1,10036,40.756628,-73.986287,105,03,1009950001,119,MN0502
3335795,42785,02/03/2024,Accident,Other Construction Related,0,1,350,KENT AVENUE,Brooklyn,2414,1,11249,40.712706,-73.967694,301,33,3024147502,551,BK0102
1088749,43449,06/28/2024,Accident,Other Construction Related,0,1,1,EAST 23 STREET,Manhattan,853,2,10010,40.74078,-73.987741,105,02,1008530002,56,MN0501
3038668,43287,05/23/2024,Accident,Other Construction Related,0,1,2435,PACIFIC STREET,Brooklyn,1437,46,11233,40.675235,-73.904872,316,37,3014370046,36502,BK1601
3429267,43366,06/11/2024,Accident,Worker Fell,0,1,60,CEDAR STREET,Brooklyn,3232,5,11221,40.69721,-73.927329,304,34,3032320005,423,BK0401
3058215,42996,03/21/2024,Incident,Scaffold/Shoring Installations,0,1,71,PRINCE STREET,Brooklyn,2050,100,11201,40.695332,-73.982413,302,35,3020500100,1501,BK0202
4048639,43072,04/04/2024,Incident,Material Failure (Fell),0,0,45-12,104 STREET,Queens,1980,33,11368,40.746858,-73.860166,404,21,4019800033,413,QN0402
4437366,43487,07/09/2024,Accident,Other Construction Related,0,1,48-37,48 STREET,Queens,2292,7,11377,40.738775,-73.917667,402,26,4022920007,23501,QN0202
1006998,42682,01/10/2024,Incident,Other Construction Related,0,0,188,GRAND STREET,Manhattan,471,59,10013,40.719292,-73.997172,102,01,1004710059,41,MN0201
1081137,43564,07/29/2024,Accident,Worker Fell,0,1,14,WEST 57 STREET,Manhattan,1272,47,10019,40.763282,-73.974742,105,04,1012720047,11201,MN0502
4441727,43368,06/12/2024,Accident,Worker Fell,0,1,28-90,REVIEW AVENUE,Queens,294,106,11101,40.738263,-73.940676,402,26,4002940106,19902,QN0202
1091777,42649,01/03/2024,Accident,Material Failure (Fell),0,1,740,8 AVENUE,Manhattan,1017,1,10036,40.759546,-73.988095,105,03,1010170001,119,MN0502
3321834,43756,09/18/2024,Incident,Material Failure (Fell),0,0,2930,WEST 30 STREET,Brooklyn,7050,1,11224,40.573621,-73.996127,313,47,3070500001,342,BK1302
4263101,43274,05/20/2024,Accident,Excavation/Soil Work,0,2,133-28,150 STREET,Queens,12116,50,11436,40.667813,-73.789258,412,28,4121160050,788,QN1203
2130734,43623,08/12/2024,Accident,Other Construction Related,0,1,1,ORCHARD BEACH,Bronx,5650,1,10464,40.867456,-73.797494,228,13,2056500001,504,BX2891
3192980,43443,06/27/2024,Incident,Excavation/Soil Work,0,0,2118,OCEAN PARKWAY,Brooklyn,7132,17,11223,40.59724,-73.965377,315,44,3071320017,394,BK1501
4624423,43225,05/07/2024,Incident,Other Construction Related,0,0,42-06,ORCHARD STREET,Queens,265,13,11101,40.74817,-73.938805,402,26,4002650013,1902,QN0201
2817041,43382,06/14/2024,Accident,Worker Fell,0,1,1010,WASHINGTON AVENUE,Bronx,2369,10,10456,40.826343,-73.909635,203,16,2023690010,18501,BX0301
4624500,43160,04/19/2024,Accident,Worker Fell,0,1,97-10,SUTPHIN BOULEVARD,Queens,10030,6,11435,40.697107,-73.805657,412,27,4100300006,208,QN1201
3058411,42655,01/05/2024,Accident,Worker Fell,0,1,240,WILLOUGHBY STREET,Brooklyn,2088,25,11201,40.691902999999996,-73.97827,302,35,3020880025,3101,BK0203
4620885,42768,01/31/2024,Accident,Worker Fell,0,1,26-32,JACKSON AVENUE,Queens,267,21,11101,40.747551,-73.94113,402,26,4002670021,1902,QN0201
3429225,42707,01/16/2024,Incident,Excavation/Soil Work,0,0,498,UNION STREET,Brooklyn,439,1,11215,40.67921,-73.987691,306,39,3004390001,11901,BK0601
1084198,43732,09/12/2024,Accident,Other Construction Related,0,1,635,WEST 165 STREET,Manhattan,2138,40,10032,40.839928,-73.94254,112,10,1021380040,251,MN1201
4623202,43014,03/25/2024,Accident,Other Construction Related,0,1,35-15,19 AVENUE,Queens,814,10,11105,40.780061,-73.901942,401,22,4008140010,10701,QN0101
2129717,43022,03/27/2024,Accident,Worker Fell,0,2,138,BRUCKNER BOULEVARD,Bronx,2260,10,10454,40.803902,-73.920534,201,08,2022600010,1902,BX0101
1044022,43316,05/31/2024,Accident,Worker Fell,0,1,1299,3 AVENUE,Manhattan,1429,4,10021,40.771378,-73.959402,108,05,1014290004,134,MN0801
1082792,43194,04/29/2024,Accident,Material Failure (Fell),0,1,335,8 AVENUE,Manhattan,751,20,10001,40.747563,-73.996849,104,03,1007510020,97,MN0401
1001416,43260,05/15/2024,Accident,Mechanical Construction Equipment,0,2,240,GREENWICH STREET,Manhattan,128,2,10007,40.714055,-74.011612,101,01,1001280002,21,MN0102
4248981,43276,05/20/2024,Incident,Excavation/Soil Work,0,0,98-24,ALBERT ROAD,Queens,11557,9,11417,40.668931,-73.837223,410,32,4115570009,88,QN1002
1044092,43513,07/16/2024,Incident,Material Failure (Fell),0,0,1345,3 AVENUE,Manhattan,1431,46,10075,40.772846,-73.958332,108,05,1014310046,134,MN0801
1001127,43547,07/23/2024,Incident,Scaffold/Shoring Installations,0,0,90,JOHN STREET,Manhattan,69,7502,10038,40.708173,-74.006464,101,01,1000697502,1502,MN0101
1091775,43395,06/18/2024,Accident,Worker Fell,0,1,64,UNIVERSITY PLACE,Manhattan,568,21,10003,40.732953,-73.993635,102,02,1005687501,61,MN0202
3429554,43186,04/27/2024,Accident,Scaffold/Shoring Installations,0,1,380,4 AVENUE,Brooklyn,980,77,11215,40.67268,-73.986791,306,39,3009800077,11901,BK0601
3032103,43792,10/01/2024,Incident,Other Construction Related,0,0,40,HAMPTON PLACE,Brooklyn,1251,66,11213,40.671546,-73.940901,308,35,3012510066,339,BK0802
1036892,42723,01/19/2024,Accident,Mechanical Construction Equipment,0,1,126,EAST 57 STREET,Manhattan,1311,60,10022,40.761118,-73.969609,105,04,1013110013,11203,MN0604
3196598,42822,02/14/2024,Accident,Worker Fell,0,1,3100,OCEAN PARKWAY,Brooklyn,7282,62,11235,40.575868,-73.968639,313,48,3072820062,35602,BK1302
1091739,43345,06/07/2024,Accident,Mechanical Construction Equipment,0,1,40,WEST 137 STREET,Manhattan,1734,2,10037,40.814603,-73.938039,110,09,1017340002,212,MN1002
1010365,42687,01/11/2024,Incident,Material Failure (Fell),0,0,533,GREENWICH STREET,Manhattan,597,37,10013,40.726821,-74.008944,102,03,1005970037,37,MN0201
3426079,43812,10/08/2024,Accident,Other Construction Related,0,1,83,GATEWAY DRIVE,Brooklyn,4452,232,11239,40.654072,-73.877782,305,42,3044520232,107001,BK0504
3107741,43631,08/14/2024,Accident,Worker Fell,0,1,329,CLARKSON AVENUE,Brooklyn,4828,21,11226,40.655503,-73.948826,309,40,3048280021,804,BK0902
3058228,42980,03/18/2024,Incident,Material Failure (Fell),0,0,111,WILLOUGHBY STREET,Brooklyn,2058,47,11201,40.69214,-73.984628,302,33,3020580047,1502,BK0202
1034250,43332,06/05/2024,Incident,Material Failure (Fell),0,0,7,WEST 45 STREET,Manhattan,1261,30,10036,40.755678,-73.980101,105,04,1012610030,96,MN0502
3429743,43478,07/05/2024,Accident,Worker Fell,0,1,335,BOND STREET,Brooklyn,445,1,11231,40.679018,-73.990179,306,39,3004450001,75,BK0601
2083468,43298,05/28/2024,Incident,Material Failure (Fell),0,0,666,KAPPOCK STREET,Bronx,5743,29,10463,40.880659,-73.919151,208,11,2057430029,29301,BX0803
3428561,43205,05/02/2024,Accident,Worker Fell,0,1,1215,FULTON STREET,Brooklyn,1842,15,11216,40.680609,-73.952845,303,36,3018420015,245,BK0301
1080458,42950,03/12/2024,Accident,Worker Fell,0,1,300,EAST 50 STREET,Manhattan,1342,51,10022,40.75472,-73.968172,106,04,1013420051,98,MN0604
1078929,43496,07/10/2024,Accident,Worker Fell,1,0,1505,PARK AVENUE,Manhattan,1637,1,10029,40.794985,-73.946371,111,08,1016370001,172,MN1101
1050357,42867,02/23/2024,Accident,Other Construction Related,0,1,1522,1 AVENUE,Manhattan,1559,50,10075,40.772632,-73.952462,108,05,1015590001,13603,MN0803
3429688,43798,10/03/2024,Incident,Mechanical Construction Equipment,0,0,498,SACKETT STREET,Brooklyn,431,12,11231,40.680445,-73.988802,306,39,3004310012,75,BK0601
2008247,42919,03/06/2024,Accident,Worker Fell,0,1,1900,JEROME AVENUE,Bronx,2853,1,10453,40.85042,-73.910369,205,14,2028530001,23301,BX0502
